GRB Name: 221201A, Detection Day: 12:25:05, Detection Time: 1142847, XRT RA Coordinates: 266.90317:47:36.7, Redshift: -68.230-68:13:48.0
GRB Name: 221120A, Detection Day: 21:29:28, Detection Time: 1141030, XRT RA Coordinates: 41.36302:45:27.1, Redshift: 43.24143:14:27.6
GRB Name: 221110A, Detection Day: 02:28:17, Detection Time: 1136936, XRT RA Coordinates: 29.10601:56:25.4, Redshift: -27.298-27:17:52.8
GRB Name: 221028A, Detection Day: 13:16:27, Detection Time: 1131910, XRT RA Coordinates: 314.19820:56:47.5, Redshift: 41.08241:04:55.2
GRB Name: 221027B, Detection Day: 19:13:38, Detection Time: 1131397, XRT RA Coordinates: 225.60115:02:24.2, Redshift: 47.45147:27:03.6
GRB Name: 221024A, Detection Day: 13:00:27, Detection Time: 1131029, XRT RA Coordinates: 169.70211:18:48.5, Redshift: 33.06833:04:04.8
GRB Name: 221022A, Detection Day: 19:33:33, Detection Time: BAT/GUNAO, XRT RA Coordinates: 118.34207:53:22.1, Redshift: -5.117-05:07:01.2
GRB Name: 221016A, Detection Day: 23:39:24, Detection Time: 1129775, XRT RA Coordinates: 38.93802:35:45.1, Redshift: -34.615-34:36:54.0
GRB Name: 221009A, Detection Day: 14:10:17, Detection Time: 1126853, XRT RA Coordinates: 288.25419:13:01.0, Redshift: 19.80919:48:32.4
GRB Name: 221006A, Detection Day: 00:57:09, Detection Time: MAXI, XRT RA Coordinates: 337.32822:29:18.7, Redshift: 15.70315:42:10.8
GRB Name: 220930A, Detection Day: 11:11:52, Detection Time: 1125809, XRT RA Coordinates: 64.72504:18:54.0, Redshift: 13.35313:21:10.8
GRB Name: 220921A, Detection Day: 11:05:59.07, Detection Time: Fermi, XRT RA Coordinates: 66.7904:27:09.6, Redshift: -40.25-40:15:00.0
GRB Name: 220909A, Detection Day: 06:52:13, Detection Time: BAT/GUNAO, XRT RA Coordinates: 216.044814:24:10.8, Redshift: -8.8551-08:51:18.4
